Name,street_address,city,state,zip_code,post_code,latitude,longitude,green
Holiday Inn & Suites Anaheim Disneyland,1240 South Walnut,Anaheim,California,92802,92802-2241,33.8166377,-117.9279666,0
Cortona Inn & Suites,2029 S Harbor Blvd,Anaheim,California,92802,92802-3513,33.7982864,-117.9164257,0
Portofino Inn & Suites Anaheim,1831 S Harbor Blvd,Anaheim,California,92802,92802-3509,33.8025285,-117.9159752,0
Disney's Grand Californian Hotel,1600 S Disneyland Dr,Anaheim,California,92802,92802-2317,33.8079292,-117.9222359,0
Super 8 Anaheim Near Disneyland,415 West Katella Avenue,Anaheim,California,92802,92802-3607,33.804495,-117.912936,0
Motel 6 Los Angeles Long Beach,5665 E 7th St,Long Beach,California,90804,90804-4430,33.7758114,-118.1220745,0
Holiday Inn Long Beach Airport ,2640 N Lakewood Blvd,Long Beach,California,90815,90815-1715,33.8040448,-118.1416632,0
Holiday Inn Long Beach Downtown Area,1133 Atlantic Ave,Long Beach,California,90813,90813,33.7816736,-118.1854956,0
Residence Inn Long Beach,4111 E Willow St,Long Beach,California,90815,90815-1740,33.8038826,-118.1450936,0
Rodeway Inn Long Beach,50 Atlantic Ave,Long Beach,California,90802,90802-5202,33.7671594,-118.184676,0
Courtyard Long Beach Downtown,500 East First Street,Long Beach,California,90802,90802-5024,33.7677694,-118.1858612,0
Residence Inn Long Beach Downtown,600 Queensway Drive,Long Beach,California,90802,90802-6341,33.7587747,-118.2012616,0
Super 8 Long Beach,4201 E Pacific Coast Hwy,Long Beach,California,90804,90804-2113,33.7904336,-118.143766,0
Hotel Queen Mary,1126 Queens Hwy,Long Beach,California,90802,90802-6331,33.7528427,-118.1897,0
Westin Long Beach,333 E Ocean Blvd,Long Beach,California,90802,90802-4827,33.767451,-118.188244,0
Best Western Plus Hotel @ The Convention Center,517 E 1st St,Long Beach,California,90802,90802-5025,33.768403,-118.1860825,0
Doubletree Hotel Maya,700 Queensway Dr,Long Beach,California,90802,90802-6343,33.7567328,-118.1987124,0
Ramada Plaza Anaheim,515 W Katella Ave,Anaheim,California,92802,92802-3609,33.8037363,-117.9143274,0
Best Western Plus Stovall's Inn,1110 W Katella Ave,Anaheim,California,92802,92802-2805,33.8023622,-117.9245043,0
Best Western Plus Pavilions,1176 W. Katella Ave,Anaheim,California,92802,92802-2895,33.8024759,-117.9277607,0
Best Western Plus Park Place Inn Mini Suites,1544 S Harbor Blvd,Anaheim,California,92802,92802-2312,33.8095488,-117.9142359,0
Disney's Disneyland Hotel,1150 West Magic Way,Anaheim,California,92802,92802-2297,33.8089017,-117.9270524,0
Best Western Plus Anaheim Inn,1630 South Harbor Boulevard,Anaheim,California,92802,92802-2314,33.8082687,-117.9143732,0
Howard Johnson Los Angeles Anaheim Area,1380 South Harbor Boulevard,Anaheim,California,92802,92802-2310,33.8139992,-117.9145334,0
DoubleTree Suites Anaheim Resort Convention Center,2085 S Harbor Blvd,Anaheim,California,92802,92802-3513,33.796379,-117.915851,0
Hotel Indigo Anaheim Maingate,435 West Katella Avenue,Anaheim,California,92802,92802-3607,33.8036719,-117.9136126,0
The Hollywood Roosevelt,7000 Hollywood Boulevard,Los Angeles,California,90028,90028-6003,34.1012777,-118.3416128,0
Omni Los Angeles Hotel,251 S Olive St,Los Angeles,California,90012,90012-3002,34.0525457,-118.2505609,0
Four Seasons Hotel Los Angeles,300 S Doheny Dr,Los Angeles,California,90048,90048-3704,34.0621234,-118.3896124,0
Motel 6 Lompoc,1521 North H Street,Lompoc,California,93436,93436-2818,34.6631786,-120.4587194,0
Holiday Inn Express Lompoc,1417 N H St,Lompoc,California,93436,93436-3309,34.6624894,-120.4584009,0
